Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;
20:01:25.211409;IP;localhost;domain ; localhost;46630;;;;;;41987;1/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.;-104;1;;;;;;;;;;;;;;;;;
20:01:25.225023;IP;localhost;43580; localhost;domain;;;;;;820;[1au];A?;hbopenbid.pubmatic.com.;-51;1;;;;;;;;;;;;;;;;;
20:01:25.225320;IP;localhost;domain ; localhost;43580;;;;;;820;3/0/1;CNAME;hbopenbid22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:25.225353;IP;localhost;43580; localhost;domain;;;;;;2878;[1au];AAAA?;hbopenbid.pubmatic.com.;-51;1;;;;;;;;;;;;;;;;;
20:01:25.225596;IP;localhost;domain ; localhost;43580;;;;;;2878;2/0/1;CNAME;hbopenbid22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:26.045517;IP;localhost;32950; localhost;domain;;;;;;37734;[1au];A?;sic.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:26.046042;IP;localhost;32950; localhost;domain;;;;;;7030;[1au];AAAA?;sic.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:26.047853;IP;localhost;40065; localhost;domain;;;;;;54039;[1au];A?;sic.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:26.067428;IP;localhost;domain ; localhost;32950;;;;;;37734;2/0/1;CNAME;chi.sic.33across.com.,;A;1;;;;;;;;;;;;;;;;;
20:01:26.067555;IP;localhost;domain ; localhost;40065;;;;;;54039;2/0/1;CNAME;chi.sic.33across.com.,;A;1;;;;;;;;;;;;;;;;;
20:01:26.078504;IP;localhost;domain ; localhost;32950;;;;;;7030;1/0/1;CNAME;chi.sic.33across.com.;-63;1;;;;;;;;;;;;;;;;;
20:01:26.193744;IP;localhost;60037; localhost;domain;;;;;;9833;[1au];A?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;;;;-218
20:01:26.194356;IP;localhost;domain ; localhost;60037;;;;;;9833;10/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:26.194430;IP;localhost;60037; localhost;domain;;;;;;51831;[1au];AAAA?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;;;;
20:01:26.218421;IP;localhost;domain ; localhost;60037;;;;;;51831;2/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:26.223537;IP;localhost;57763; localhost;domain;;;;;;49794;[1au];A?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;;;;-218
20:01:26.224092;IP;localhost;domain ; localhost;57763;;;;;;49794;10/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:26.224151;IP;localhost;57763; localhost;domain;;;;;;16015;[1au];AAAA?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;;;;
20:01:26.224433;IP;localhost;domain ; localhost;57763;;;;;;16015;2/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:26.443454;IP;localhost;32827; localhost;domain;;;;;;24263;[1au];A?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
